ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,AgeCategory,GrowthPattern,LegacyMolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,LegacySubSubtype,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,EngineeredModel,TreatmentStatus,OnboardedMedia,PlateCoating,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage
ACH-000363,PT-35DpVF,SK-MM-2,SKMM2,54.0,Commercial,SIDM00391,CVCL_1699,PCM,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,ACC 430,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,753612.0,,1003.0,,,MF-001-001,None,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000364,PT-WN1oZd,U-2 OS,U2OS,15.0,Commercial,SIDM01191,CVCL_0042,OS,Pediatric,Adherent,,Primary,bone,Female,ATCC,,HTB-96,U2OS_BONE,909776.0,,1145.0,,,MF-023-001,None,OS,Osteosarcoma,Osteosarcoma,Bone
ACH-000365,PT-I24dRR,SU-DHL-4,SUDHL4,38.0,Commercial,SIDM00405,CVCL_0539,DLBCLNOS,Adult,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,DLBCL,CRL-2957,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1331035.0,,1450.0,,,MF-001-020,None,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid
ACH-000366,PT-lIgcxS,SK-N-DZ,SKNDZ,2.0,Commercial,SIDM01100,CVCL_1701,NBL,Pediatric,Adherent,MYCN_amp,Metastatic,bone_marrow,Female,ATCC,,CRL-2149,SKNDZ_AUTONOMIC_GANGLIA,688086.0,,867.0,,,MF-002-002,None,NBL,Neuroblastoma,Neuroblastoma,Peripheral Nervous System
ACH-000367,PT-hfcpvz,NCI-H226,NCIH226,,Commercial,SIDM00139,CVCL_1544,PLEMESO,Unknown,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_squamous,CRL-5826,NCIH226_LUNG,905941.0,,1221.0,,,MF-001-001,None,PLEMESO,"Pleural Mesothelioma, Epithelioid Type",Pleural Mesothelioma,Pleura
ACH-000368,PT-U0kXHW,SNU-1105,SNU1105,61.0,Commercial,,CVCL_5010,GB,Adult,Adherent,,Primary,central_nervous_system,Male,KCLB,glioblastoma,1105,SNU1105_CENTRAL_NERVOUS_SYSTEM,,,,,,MF-001-001,None,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000369,PT-sUmz7V,MOLM-16,MOLM16,77.0,Commercial,SIDM00435,CVCL_2120,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,,ACC 555,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330948.0,,1229.0,,,MF-001-020,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000370,PT-HHIjR4,SNU-626,SNU626,65.0,Commercial,,CVCL_5080,GB,Adult,Adherent,,Primary,central_nervous_system,Male,KCLB,glioblastoma,,SNU626_CENTRAL_NERVOUS_SYSTEM,,,,,,MF-001-001,None,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000371,PT-B4jW32,RL,RL,52.0,Commercial,SIDM01089,CVCL_1660,DLBCLNOS,Adult,Suspension,,Metastatic,ascites,Male,ATCC,b_cell,CRL-2261,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910861.0,,1273.0,,Unknown,MF-001-020,None,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid
ACH-000372,PT-n3wTBx,P12-ICHIKAWA,P12ICHIKAWA,7.0,Commercial,SIDM00463,CVCL_1630,TLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,t_cell,34,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909251.0,,2153.0,,,MF-001-001,None,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000373,PT-8qF7hQ,SKM-1,SKM1,76.0,Commercial,SIDM00380,CVCL_0098,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,HSRRB,,JCRB0118,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909722.0,,304.0,,,MF-001-020,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000374,PT-UPBMOO,HCC1143,HCC1143,52.0,Commercial,SIDM00866,CVCL_1245,IDC,Adult,Adherent,basal_A,Primary,breast,Female,ATCC,ERneg_HER2neg,CRL-2321,HCC1143_BREAST,749710.0,,1316.0,,,MF-001-001,None,IDC,Breast Invasive Ductal Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000375,PT-U7nXm3,G-402,G402,0.0,Commercial,SIDM00855,CVCL_1221,RCC,Pediatric,Adherent,,Primary,kidney,Female,ATCC,,CRL-1440,G402_SOFT_TISSUE,907298.0,,1089.0,,,MF-023-001,None,RCC,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000376,PT-O9gP17,SF-295,SF295,67.0,Academic lab,SIDM00084,CVCL_1690,GB,Adult,Adherent,,Primary,central_nervous_system,Female,NCI/DCTD,glioblastoma,C0005005,SF295_CENTRAL_NERVOUS_SYSTEM,905985.0,,1164.0,,,MF-001-001,None,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000377,PT-gf9GtH,SNU-478,SNU478,,Commercial,SIDM00160,CVCL_5065,AMPCA,Unknown,Adherent,,Primary,biliary_tract,Unknown,KCLB,extrahepatic,00478,SNU478_BILIARY_TRACT,,,,,Unknown,MF-001-005,None,AMPCA,Ampullary Carcinoma,Ampullary Carcinoma,Ampulla of Vater
ACH-000378,PT-svCGFs,NCI-H647,NCIH647,56.0,Commercial,SIDM01125,CVCL_1574,LUAS,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_adenosquamous,CRL-5834,NCIH647_LUNG,1240191.0,,955.0,,,MF-001-001,None,LUAS,Lung Adenosquamous Carcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000379,PT-ZMox9l,NCI-H1781,NCIH1781,66.0,Commercial,SIDM00754,CVCL_1494,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Female,ATCC,NSCLC_adenocarcinoma,CRL-5894,NCIH1781_LUNG,1298350.0,,2228.0,,,MF-001-001,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000380,PT-n47XwC,KMS-12-BM,KMS12BM,64.0,Commercial,SIDM01020,CVCL_1334,PCM,Adult,Suspension,,Primary,bone_marrow,Female,DSMZ,,ACC 551,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907281.0,,2087.0,,,MF-001-020,None,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000381,PT-3aeu41,T84,T84,72.0,Commercial,SIDM00782,CVCL_0555,COAD,Adult,Adherent,,Metastatic,lung,Male,ATCC,,CCL-248,T84_LARGE_INTESTINE,909761.0,,997.0,,,MF-007-008,None,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000382,PT-LoagR0,COR-L24,CORL24,71.0,Commercial,,CVCL_2409,SCLC,Adult,Suspension,,Metastatic,lymph_node,Male,ECACC,,,CORL24_LUNG,,,,,,MF-001-003,None,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung
ACH-000383,PT-MSH6ZN,OE33,OE33,73.0,,SIDM00477,CVCL_0471,ESCA,Adult,Adherent,,Primary,oesophagus,Female,HPACC,,OE33,OE33_OESOPHAGUS,910549.0,,1554.0,,,MF-001-001,None,ESCA,Esophageal Adenocarcinoma,Esophagogastric Adenocarcinoma,Esophagus/Stomach
ACH-000384,PT-9PFG4H,SW 780,SW780,80.0,Commercial,SIDM01160,CVCL_1728,BLCA,Adult,Adherent,,Primary,urinary_tract,Female,ATCC,bladder_transitional_cell,CRL-2169,SW780_URINARY_TRACT,687457.0,,2039.0,,,MF-021-001,None,BLCA,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder/Urinary Tract
ACH-000385,PT-0eAoS2,SK-RC-20,SKRC20,46.0,Academic lab,,CVCL_V605,RCC,Adult,Adherent,,Primary,kidney,Male,Bill Kaelin (DFCI),,,SKRC20_KIDNEY,,,,,,,None,RCC,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000386,PT-7cCzYA,KG-1,KG1,59.0,Commercial,SIDM00785,CVCL_0374,AML,Adult,Suspension,,Primary,bone_marrow,Male,ATCC,,CCL-246,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907278.0,,193.0,,,MF-005-004,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000387,PT-JUL0sC,TF-1,TF1,35.0,Commercial,,CVCL_0559,AML,Adult,Suspension,,,bone_marrow,Male,ATCC,,CRL-2003,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-001-048,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000388,PT-U7LNgP,NU-DHL-1,NUDHL1,73.0,Commercial,,CVCL_1876,DLBCLNOS,Adult,Suspension,,Metastatic,lymph_node,Male,DSMZ,DLBCL,ACC 583,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-001-020,None,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid
ACH-000389,PT-9RF4Fl,H4,H4,37.0,Commercial,SIDM00852,CVCL_1239,ASTR,Adult,Adherent,,Primary,central_nervous_system,Male,ATCC,,HTB-148,H4_CENTRAL_NERVOUS_SYSTEM,907042.0,,1244.0,,,MF-001-001,None,ASTR,Astrocytoma,Diffuse Glioma,CNS/Brain
ACH-000390,PT-gDZo34,LUDLU-1,LUDLU1,72.0,Commercial,,CVCL_2582,LUSC,Adult,Adherent,,Primary,lung,Male,ECACC,NSCLC_squamous,92012463,LUDLU1_LUNG,,,,,,MF-001-001,None,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000391,PT-APr9xS,MHH-ES-1,MHHES1,12.0,Commercial,SIDM00386,CVCL_1411,ES,Pediatric,Adherent,EWS_FLI,Metastatic,ascites,Male,DSMZ,,ACC 167,MHHES1_BONE,908134.0,,339.0,,,MF-001-001,None,ES,Ewing Sarcoma,Ewing Sarcoma,Bone
ACH-000392,PT-v3MIz8,Calu-3,CALU3,25.0,Commercial,SIDM00922,CVCL_0609,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_adenocarcinoma,HTB-55,CALU3_LUNG,687777.0,,219.0,,,MF-006-001,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000393,PT-saZI6H,HLF,HLF,68.0,Commercial,SIDM00065,CVCL_2947,HCC,Adult,Adherent,,Primary,liver,Male,HSRRB,,JCRB0405,HLF_LIVER,,,,,,MF-006-001,None,HCC,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Liver
ACH-000394,PT-PzvfS6,NCI-H2081,NCIH2081,59.0,Commercial,SIDM00710,CVCL_1522,SCLC,Adult,Suspension,,Metastatic,pleural_effusion,Female,ATCC,,CRL-5921,NCIH2081_LUNG,908480.0,,914.0,,,MF-007-010,None,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung
ACH-000395,PT-mQfWto,NCI-H520,NCIH520,,Commercial,SIDM01130,CVCL_1566,LUSC,Unknown,Adherent,,Primary,lung,Male,ATCC,NSCLC_squamous,HTB-182,NCIH520_LUNG,908443.0,,2200.0,,,MF-001-001,None,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000396,PT-jGS2bl,J82,J82,58.0,Commercial,SIDM00693,CVCL_0359,BLCA,Adult,Adherent,,Primary,urinary_tract,Male,ATCC,bladder_transitional_cell,HTB-1,J82_URINARY_TRACT,753566.0,,1232.0,,,MF-006-001,None,BLCA,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder/Urinary Tract
ACH-000397,PT-lpuBPT,TEN,TEN,74.0,Commercial,,CVCL_E063,UCCC,Adult,Adherent,,Primary,endometrium,Female,RIKEN,,RCB1433,TEN_ENDOMETRIUM,,,,,,MF-006-001,None,UCCC,Uterine Clear Cell Carcinoma,Endometrial Carcinoma,Uterus
ACH-000398,PT-OW2fam,RI-1,RI1,57.0,Commercial,,CVCL_1885,ABC,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Female,DSMZ,b_cell,ACC 585,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-001-001,None,ABC,Activated B-cell Type,Non-Hodgkin Lymphoma,Lymphoid
ACH-000399,PT-FplxWn,NCI-H2196,NCIH2196,67.0,Commercial,SIDM00731,CVCL_1539,SCLC,Adult,Adherent,,Metastatic,bone_marrow,Male,ATCC,,CRL-5932,NCIH2196_LUNG,908481.0,,916.0,,,MF-007-010,None,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung
ACH-000400,PT-cPXTdY,SK-CO-1,SKCO1,65.0,Commercial,SIDM01096,CVCL_0626,COAD,Adult,Adherent,,Metastatic,ascites,Male,ATCC,,HTB-39,SKCO1_LARGE_INTESTINE,909718.0,,40.0,,,MF-006-001,None,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000401,PT-hf4hbl,COLO-800,COLO800,14.0,Commercial,SIDM00515,CVCL_1135,SKCM,Pediatric,Adherent,,Metastatic,skin,Male,ATCC,,CRL-1974,COLO800_SKIN,906813.0,,21.0,,,MF-001-001,None,SKCM,Cutaneous Melanoma,Melanoma,Skin
ACH-000402,PT-ieu86J,BL-70,BL70,16.0,Commercial,SIDM00074,CVCL_1088,BL,Pediatric,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,b_cell_burkitt,,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-001-001,None,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000403,PT-cabct5,NCI-H747,NCIH747,69.0,Commercial,SIDM00778,CVCL_1587,COAD,Adult,Adherent,,Metastatic,large_intestine,Male,ATCC,,CCL-252,NCIH747_LARGE_INTESTINE,908457.0,,573.0,,,MF-001-001,None,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000404,PT-xgu7do,K029AX,K029AX,,Academic lab,,CVCL_8784,SKCM,Unknown,Adherent,,Primary,skin,Unknown,Received from CCLE; originally academic lab,,,K029AX_SKIN,,,,,,MF-001-001,None,SKCM,Cutaneous Melanoma,Melanoma,Skin
ACH-000405,PT-2VMIkL,MEC-1,MEC1,61.0,Commercial,SIDM00001,CVCL_1870,CLLSLL,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,b_cell,,MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-005-001,None,CLLSLL,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000406,PT-ZwaNYv,U-937,U937,37.0,Commercial,SIDM01195,CVCL_0007,AML,Adult,Suspension,,Metastatic,pleural_effusion,Male,ATCC,,CRL-1593.2,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,SNP fingerprinting rules out contamination. Depmap has correct ATCC stock,,,,MF-001-001,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000407,PT-iaJKdg,SNU-685,SNU685,70.0,Commercial,SIDM00165,CVCL_5083,UCS,Adult,Adherent,,Primary,endometrium,Female,KCLB,,685,SNU685_ENDOMETRIUM,,,,,,MF-001-001,None,UCS,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,Endometrial Carcinoma,Uterus
ACH-000408,PT-Tt9e9T,TE-5,TE5,73.0,Commercial,SIDM00347,CVCL_1764,ESCC,Adult,Adherent,,,oesophagus,Female,RIKEN,,RCB1949,TE5_OESOPHAGUS,735784.0,,576.0,,,MF-001-001,None,ESCC,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach
ACH-000409,PT-eYKUfI,OVSAHO,OVSAHO,56.0,Commercial,,CVCL_3114,HGSOC,Adult,Adherent,,Metastatic,abdomen,Female,HSRRB,high_grade_serous,,OVSAHO_OVARY,,,,,,MF-001-001,None,HGSOC,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000410,PT-mOrUlf,Saos-2,SAOS2,11.0,Commercial,SIDM01084,CVCL_0548,OS,Pediatric,Adherent,,Primary,bone,Female,ATCC,,HTB-85,SAOS2_BONE,909707.0,,399.0,,,MF-023-002,None,OS,Osteosarcoma,Osteosarcoma,Bone
ACH-000411,PT-Kwk2bU,769-P,769P,63.0,Commercial,SIDM00803,CVCL_1050,CCRCC,Adult,Adherent,,Primary,kidney,Female,ATCC,clear_cell,CRL-1933,769P_KIDNEY,910922.0,,1186.0,,,MF-001-001,None,CCRCC,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000412,PT-FvlAfh,SNU-1197,SNU1197,70.0,Commercial,SIDM00171,CVCL_5016,COAD,Adult,Adherent,,Primary,Colon,Male,KCLB,,,SNU1197_LARGE_INTESTINE,,,,,,MF-001-001,None,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000413,PT-ipY35J,Hs 739.T,HS739T,52.0,,SIDM01702,CVCL_0882,ZFIBBRE,Adult,Adherent,,,fibroblast,Female,,,,HS739T_FIBROBLAST,,,,,,,None,,"Fibroblast, Breast",Non-Cancerous,Fibroblast
ACH-000414,PT-0Fp6tq,NCI-H1944,NCIH1944,62.0,Commercial,SIDM00762,CVCL_1508,LUAD,Adult,Adherent,,Metastatic,soft_tissue,Female,ATCC,NSCLC_adenocarcinoma,CRL - 5907,NCIH1944_LUNG,1240185.0,,183.0,,,MF-001-001,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000415,PT-Typnjw,BICR 6,BICR6,,Commercial,,CVCL_2314,HPHSC,Unknown,Adherent,,Primary,upper_aerodigestive_tract,Male,ECACC,oral,5070501,BICR6_UPPER_AERODIGESTIVE_TRACT,,,,,,MF-002-001,None,HPHSC,Hypopharynx Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Head and Neck
ACH-000416,PT-YdBNCw,NCI-H838,NCIH838,59.0,Commercial,SIDM01150,CVCL_1594,LUAD,Adult,Adherent,,Metastatic,lymph_node,Male,ATCC,NSCLC_adenocarcinoma,CRL-5844,NCIH838_LUNG,910399.0,,484.0,,,MF-001-001,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000417,PT-9CcA8P,Panc 08.13,PANC0813,85.0,Commercial,SIDM01136,CVCL_1638,PAAD,Adult,Adherent,,Primary,pancreas,Male,ATCC,exocrine_adenocarcinoma,CRL-2551,PANC0813_PANCREAS,925347.0,,635.0,,,MF-001-019,None,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000418,PT-4X60vq,SW 1353,SW1353,72.0,Commercial,,CVCL_0543,CHS,Adult,Adherent,,Primary,bone,Female,ATCC,,HTB-94,SW1353_BONE,,,,,,MF-021-001,None,CHS,Chondrosarcoma,Chondrosarcoma,Bone
ACH-000419,PT-01q6LP,KMS-28BM,KMS28BM,77.0,Commercial,,CVCL_2994,PCM,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,HSRRB,,JCRB1192,KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-001-001,None,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000420,PT-zjdwU2,SNU-449,SNU449,52.0,Commercial,SIDM01194,CVCL_0454,HCC,Adult,Adherent,,Primary,liver,Male,ATCC,,CRL-2234,SNU449_LIVER,909738.0,,129.0,,,MF-001-001,None,HCC,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Liver
ACH-000421,PT-M67oxD,SW837,SW837,53.0,Commercial,SIDM00833,CVCL_1729,READ,Adult,Adherent,,Primary,large_intestine,Male,ATCC,,CCL-235,SW837_LARGE_INTESTINE,909755.0,,1141.0,,,MF-001-001,None,READ,Rectal Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000422,PT-UjP297,SNU-475,SNU475,43.0,Commercial,SIDM01196,CVCL_0497,HCC,Adult,Adherent,,Primary,liver,Male,ATCC,,,SNU475_LIVER,909739.0,,2059.0,,,MF-001-001,None,HCC,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Liver
ACH-000423,PT-TEoeSm,SK-MEL-3,SKMEL3,42.0,Commercial,SIDM01105,CVCL_0550,SKCM,Adult,Adherent,,Metastatic,lymph_node,Female,ATCC,,HTB-69,SKMEL3_SKIN,909724.0,,1572.0,,,MF-023-002,None,SKCM,Cutaneous Melanoma,Melanoma,Skin
ACH-000424,PT-BIG8te,TC-71,TC71,22.0,Commercial,SIDM00419,CVCL_2213,ES,Adult,Adherent,,Primary,bone,Male,DSMZ,,ACC 516,TC71_BONE,1240221.0,,2194.0,,,MF-005-001,None,ES,Ewing Sarcoma,Ewing Sarcoma,Bone
ACH-000425,PT-Zu8A8i,UACC-62,UACC62,,Academic lab,SIDM00107,CVCL_1780,MEL,Unknown,Adherent,,Primary,skin,Unknown,NCI/DCTD,,AddexBio Product Detail - UACC-62 Cells,UACC62_SKIN,905976.0,,8.0,,,MF-001-001,None,MEL,Melanoma,Melanoma,Skin
ACH-000426,PT-9qQHFN,KMS-20,KMS20,65.0,Commercial,,CVCL_2990,PCM,Adult,Suspension,,Primary,bone_marrow,Female,HSRRB,,JCRB1196,KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-001-001,None,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000427,PT-e4bHZ8,NCI-N87,NCIN87,,Commercial,SIDM01147,CVCL_1603,TSTAD,Unknown,Adherent,,Metastatic,liver,Male,ATCC,tubular,CRL-5822,NCIN87_STOMACH,908461.0,,88.0,,,MF-001-001,None,TSTAD,Tubular Stomach Adenocarcinoma,Esophagogastric Adenocarcinoma,Esophagus/Stomach
ACH-000428,PT-8RqCEL,UO-31,UO31,,Academic lab,SIDM00112,CVCL_1911,RCC,Unknown,Adherent,,Primary,kidney,Female,Garraway lab,,,UO31_KIDNEY,905981.0,,1636.0,,,MF-001-014,None,RCC,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000429,PT-hu5eOQ,A-704,A704,78.0,Commercial,SIDM00849,CVCL_1065,RCC,Adult,Adherent,,Primary,kidney,Male,ATCC,,HTB-45,A704_KIDNEY,910920.0,,949.0,,,MF-006-001,None,RCC,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000430,PT-z46I0M,TYK-nu,TYKNU,38.0,Commercial,SIDM00321,CVCL_1776,HGSOC,Adult,Adherent,,Primary,ovary,Female,HSRRB,high_grade_serous,JCRB0234.0,TYKNU_OVARY,909774.0,,476.0,,,MF-006-001,None,HGSOC,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000431,PT-5l8uJX,NCI-H1694,NCIH1694,61.0,Commercial,SIDM00741,CVCL_1489,SCLC,Adult,Suspension,,Metastatic,ascites,Male,ATCC,,CRL-5888,NCIH1694_LUNG,688006.0,,451.0,,,MF-004-001,None,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung
ACH-000432,PT-6P3A35,BV-173,BV173,45.0,Commercial,SIDM00962,CVCL_0181,CML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,blast_crisis,ACC 20,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910710.0,,321.0,,,MF-001-021,None,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid
ACH-000433,PT-0UOmyW,Caki-1,CAKI1,49.0,Commercial,SIDM00941,CVCL_0234,CCRCC,Adult,Adherent,,Metastatic,skin,Male,ATCC,clear_cell,HTB-46,CAKI1_KIDNEY,905963.0,,289.0,,,MF-023-001,None,CCRCC,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000434,PT-3DrWN5,NCI-H1915,NCIH1915,61.0,Commercial,SIDM00763,CVCL_1505,LCLC,Adult,Adherent,,Metastatic,central_nervous_system,Female,ATCC,NSCLC_large_cell,CRL-5904,NCIH1915_LUNG,1240184.0,,1823.0,,,MF-001-001,None,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000435,PT-HWnYva,EFE-184,EFE184,69.0,Commercial,,CVCL_1191,UCEC,Adult,Adherent,,Metastatic,ascites,Female,DSMZ,,ACC 230,EFE184_ENDOMETRIUM,,,,,,MF-001-001,None,UCEC,Endometrial Carcinoma,Endometrial Carcinoma,Uterus
ACH-000436,PT-vvCo6J,OCI-My7,OCIMY7,,Academic lab,,CVCL_E333,PCM,Unknown,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,Mitsiades (Broad),,,OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-001-001,None,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000437,PT-uhtVUf,SW 1088,SW1088,72.0,Commercial,SIDM01155,CVCL_1715,ASTR,Adult,Adherent,,Primary,central_nervous_system,Male,ATCC,astrocytoma,HTB - 12,SW1088_CENTRAL_NERVOUS_SYSTEM,909745.0,,1310.0,,,MF-001-001,None,ASTR,Astrocytoma,Diffuse Glioma,CNS/Brain
ACH-000438,PT-DJtGj2,Lu-65,LU65,64.0,Commercial,SIDM00547,CVCL_1392,GCLC,Adult,Suspension,,Primary,lung,Male,JCRB,NSCLC_large_cell,,LU65_LUNG,724863.0,,47.0,,,MF-001-020,None,GCLC,Giant Cell Carcinoma of the Lung,Non-Small Cell Lung Cancer,Lung
ACH-000439,PT-do6aX9,ME-1,ME1,40.0,Commercial,SIDM00338,CVCL_2110,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,M4,,ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330942.0,,427.0,,,MF-001-001,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000440,PT-1BkfPG,CA46,CA46,,Commercial,SIDM00907,CVCL_1101,BL,Unknown,Suspension,,Primary,ascites,Male,ATCC,b_cell_burkitt,CRL-1648,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910703.0,,1190.0,,Unknown,MF-001-001,None,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000441,PT-wx4HmM,SH-4,SH4,60.0,Commercial,SIDM01079,CVCL_1692,MEL,Adult,Adherent,,Metastatic,pleural_effusion,Female,ATCC,,CRL-7724,SH4_SKIN,909713.0,,1179.0,,,MF-002-001,None,MEL,Melanoma,Melanoma,Skin
