ENSP00000493376	A0A2U3U0J3
ENSP00000225614	P51570
ENSP00000464765	K7EII7
ENSP00000269383	Q6PJ69
ENSP00000466353	K7EM44
ENSP00000359794	P43088
ENSP00000359793	P43088
ENSP00000359792	P43088
ENSP00000467653	K7EQ37
ENSP00000391333	F8W732
ENSP00000383813	B1AR72
ENSP00000308275	Q96DV4
ENSP00000369965	P20290
ENSP00000338516	P20290
ENSP00000420978	D6RDG3
ENSP00000464749	K7EIH3
ENSP00000394461	H7C0E3
ENSP00000262765	Q9H0J4
ENSP00000490761	A0A1B0GW36
ENSP00000296785	Q9H9E1
ENSP00000466613	O43934
ENSP00000464932	O43934
ENSP00000485005	O43934
ENSP00000337240	O43934
ENSP00000468309	O43934
ENSP00000348225	O43934
ENSP00000466782	O43934
ENSP00000313408	Q7Z403
ENSP00000306405	Q7Z403
ENSP00000468255	Q7Z403
ENSP00000468255	K7ERH0
ENSP00000466885	Q7Z403
ENSP00000466885	K7ENC4
ENSP00000465261	Q7Z403
ENSP00000376260	Q7Z403
ENSP00000465630	K7EKI0
ENSP00000466682	B4DJ07
ENSP00000385066	B5MCY9
ENSP00000467717	K7EQ87
ENSP00000384368	A0A0A0MSB8
ENSP00000333806	Q9UPT5
ENSP00000489266	Q9UPT5
ENSP00000301607	Q92817
ENSP00000468404	Q9UPT5
ENSP00000404322	Q9UPT5
ENSP00000334100	Q9UPT5
ENSP00000468364	K7ERQ5
ENSP00000475431	B4DJ07
ENSP00000473613	Q9UHB9
ENSP00000312066	Q9UHB9
ENSP00000446136	Q9UHB9
ENSP00000301618	Q3V5L5
ENSP00000456037	Q3V5L5
ENSP00000391227	Q3V5L5
ENSP00000325561	Q8IU68
ENSP00000467482	Q8IU68
ENSP00000353089	Q01130
ENSP00000441780	Q01130
ENSP00000463317	J3QL05
ENSP00000350877	J3KP15
ENSP00000376276	Q01130
ENSP00000466829	K7EN84
ENSP00000467375	K7EQL2
ENSP00000467879	K7EQL2
ENSP00000466223	K7ELU3
ENSP00000465132	Q8TES7
ENSP00000468699	K7ESG2
ENSP00000490726	Q8TES7
ENSP00000414624	Q14558
ENSP00000314973	B4DP31
ENSP00000467165	K7EP01
ENSP00000254810	P84243
ENSP00000468714	P84243
ENSP00000465813	P84243
ENSP00000466020	P84243
ENSP00000392838	C9J168
ENSP00000465403	K7EK07
ENSP00000387494	C9JUN4
ENSP00000468484	K7ES00
ENSP00000410561	Q00526
ENSP00000400088	Q00526
ENSP00000389723	C9JME6
ENSP00000409190	C9JKT9
ENSP00000402126	C9JNQ3
ENSP00000321837	Q96PX1
ENSP00000269391	Q96PX1
ENSP00000497353	A0A3B3ISM3
ENSP00000466079	D5G3K4
ENSP00000464973	K7EJ08
ENSP00000376268	Q92503
ENSP00000408169	Q92503
ENSP00000466220	K7ELU0
ENSP00000465196	K7EJJ2
ENSP00000466581	Q92503
ENSP00000390392	Q92503
ENSP00000406030	Q92503
ENSP00000467868	K7EQK4
ENSP00000466663	K7EMV3
ENSP00000468727	K7ESI4
ENSP00000313681	Q9NYA1
ENSP00000467934	Q92503
ENSP00000466137	K7ELM0
ENSP00000389838	Q92503
ENSP00000440970	Q9NYA1
ENSP00000466422	K7EMA4
ENSP00000465002	K7EJ32
ENSP00000465726	Q9NYA1
ENSP00000468547	Q9NYA1
ENSP00000376285	Q9NYA1
ENSP00000343493	Q6UX52
ENSP00000466133	K7ELL6
ENSP00000400181	Q9UHD8
ENSP00000406987	Q9UHD8
ENSP00000329161	Q9UHD8
ENSP00000465026	K7EJ51
ENSP00000468668	Q9UHD8
ENSP00000405877	Q9UHD8
ENSP00000466164	K7ER14
ENSP00000403194	Q9UHD8
ENSP00000391249	Q9UHD8
ENSP00000468406	Q9UHD8
ENSP00000467600	O43760
ENSP00000465005	K7EJ35
ENSP00000225777	O43760
ENSP00000465678	O43760
ENSP00000466032	K7ELD9
ENSP00000323880	Q92949
ENSP00000468120	Q9UHD8
ENSP00000464777	K7EIJ7
ENSP00000467908	K7EIE4
ENSP00000466170	K7EKN4
ENSP00000464832	K7EL40
ENSP00000467792	K7EN52
ENSP00000438089	Q9UHD8
ENSP00000465415	K7EK18
ENSP00000466247	Q9UHD8
ENSP00000466201	K7EJZ2
ENSP00000466648	Q9UHD8
ENSP00000468110	K7ER52
ENSP00000467780	K7EQD7
ENSP00000467619	K7EQ08
ENSP00000468410	K7ENQ5
ENSP00000465904	K7EL40
ENSP00000467347	K7EPE4
ENSP00000457614	H3BR20
ENSP00000466997	K7ENL0
ENSP00000465332	K7EJV0
ENSP00000468504	K7EPY1
ENSP00000301634	P04183
ENSP00000468425	K7ERV3
ENSP00000468556	K7ES52
ENSP00000468278	K7ERJ1
ENSP00000467121	K7ENW5
ENSP00000323687	Q9C0C9
ENSP00000486633	K7EN53
ENSP00000250615	Q16613
ENSP00000468717	K7ESH7
ENSP00000376282	Q16613
ENSP00000386890	Q63HM1
ENSP00000466515	K7EMI4
ENSP00000466859	W4VSQ7
ENSP00000464929	K7EIX3
ENSP00000467365	K7EPF8
ENSP00000328938	Q63HM1
ENSP00000466566	K7EMM5
ENSP00000466241	K7ELV9
ENSP00000467468	K7EPN8
ENSP00000322775	Q6PJF5
ENSP00000466867	Q6PJF5
ENSP00000331298	Q8IYN6
ENSP00000466518	K7EMI7
ENSP00000467549	K7EPV3
ENSP00000465632	K7EKI1
ENSP00000467677	K7EQ53
ENSP00000464942	K7EIY3
ENSP00000465531	K7EKA3
ENSP00000465543	K7EKB4
ENSP00000468297	K7ERK7
ENSP00000330341	O14543
ENSP00000329684	O43603
ENSP00000468647	A0AAA9XYZ6
ENSP00000489933	A0A1B0GU24
ENSP00000301633	H3BLT4
ENSP00000324180	A0A0B4J1S3
ENSP00000364086	O15392
ENSP00000465868	O15392
ENSP00000466617	O15392
ENSP00000465908	K7EL44
ENSP00000262764	Q32NB8
ENSP00000402790	A6NFC5
ENSP00000466793	A6NFC5
ENSP00000447766	A6NFC5
ENSP00000467719	K7EQ89
ENSP00000293217	Q15067
ENSP00000334854	Q401N2
ENSP00000301608	Q15067
ENSP00000374490	Q9UFH2
ENSP00000389950	C9JKC2
ENSP00000465062	K7EJ83
ENSP00000465299	K7EJS2
ENSP00000464792	K7EIL0
ENSP00000380762	Q86WV5
ENSP00000465866	K7EL09
ENSP00000475294	U3KPW3
ENSP00000466210	K7ELT1
ENSP00000464727	K7EIF6
ENSP00000465707	K7EKN9
ENSP00000466029	K7EQT5
ENSP00000467971	K7EQT5
ENSP00000466277	K7ELY5
ENSP00000464975	K7EJ10
ENSP00000465990	K7ELA9
ENSP00000465124	K7EJD6
ENSP00000466448	K7EMC7
ENSP00000293230	Q8WWM9
ENSP00000464817	K7EIM9
ENSP00000468559	K7EIM9
ENSP00000467661	Q00LT1
ENSP00000465932	Q00LT1
ENSP00000225276	Q9UJ37
ENSP00000466560	K7EMM1
ENSP00000464965	K7EJ00
ENSP00000482599	Q86XA0
ENSP00000467527	K7EPT5
ENSP00000468386	K7ERS2
ENSP00000466938	K7ERS2
ENSP00000467503	K7EPR8
ENSP00000341543	Q86XA0
ENSP00000274400	Q13888
ENSP00000328901	Q13888
ENSP00000429057	D6RGC9
ENSP00000156626	Q9NSC7
ENSP00000468784	K7EJA8
ENSP00000348050	P84157
ENSP00000391466	P84157
ENSP00000465103	Q6ZR64
ENSP00000466376	K7EQX8
ENSP00000468020	K7EQX8
ENSP00000364176	P84157
ENSP00000467510	K7EPS4
ENSP00000491046	A0A1W2PNU3
ENSP00000483941	B2WTI4
ENSP00000380750	Q6NYC1
ENSP00000465330	K7EJU9
ENSP00000394085	Q6NYC1
ENSP00000422643	D6RBK8
ENSP00000466436	K7EMB6
ENSP00000466614	K7EMR3
ENSP00000466203	Q86XA0
ENSP00000468704	K7ESG7
ENSP00000465890	Q86XA0
ENSP00000465430	Q86XA0
ENSP00000467101	K7ENU9
ENSP00000465959	K7EL83
ENSP00000351575	A6H8Y1
ENSP00000424902	D6RF65
ENSP00000296792	Q8TED0
ENSP00000424334	A0A1Y8EI88
ENSP00000424609	Q8TED0
ENSP00000287773	Q8WVE6
ENSP00000415030	Q8WVE6
ENSP00000440796	Q8TED0
ENSP00000409914	C9JPJ0
ENSP00000473362	R4GMV2
ENSP00000341517	Q8TBP0
ENSP00000458766	Q8TBP0
ENSP00000458377	I3L0V9
ENSP00000461509	I3L4T6
ENSP00000458356	I3L0U9
ENSP00000309794	Q8TBP0
ENSP00000461522	Q8TBP0
ENSP00000497641	P38919
ENSP00000497661	P38919
ENSP00000460439	I3L3H2
ENSP00000269399	Q14781
ENSP00000380679	Q4G0X9
ENSP00000364011	Q4G0X9
ENSP00000458715	Q9BXL6
ENSP00000498071	Q9BXL6
ENSP00000459244	I3L1Z7
ENSP00000461806	Q9BXL6
ENSP00000344549	Q9BXL6
ENSP00000308750	Q14781
ENSP00000310590	Q9P275
ENSP00000441214	Q9P275
ENSP00000458306	P10253
ENSP00000458306	I3L0S5
ENSP00000405058	C9J6K3
ENSP00000374665	P10253
ENSP00000408753	C9JM54
ENSP00000305692	P10253
ENSP00000269385	Q9HC52
ENSP00000460543	P10253
ENSP00000460543	I3L3L3
ENSP00000269318	Q4G0X9
ENSP00000364010	Q4G0X9
ENSP00000459489	I3L292
ENSP00000460002	I3L2X6
ENSP00000389095	Q15438
ENSP00000312767	Q96MC4
ENSP00000465940	Q15438
ENSP00000466512	Q15438
ENSP00000465665	Q15438
ENSP00000467052	K7ENQ8
ENSP00000376240	Q9BXJ1
ENSP00000401119	Q9P275
ENSP00000401119	E9PEW0
ENSP00000468433	K7ERV8
ENSP00000462481	Q9BXJ1
ENSP00000465530	K7EKA2
ENSP00000466187	K7ELR5
ENSP00000463008	Q9BXJ1
ENSP00000467682	Q8IXW9
ENSP00000466949	K7ENH6
ENSP00000463108	Q9BXJ1
ENSP00000467520	K7EPT1
ENSP00000463337	A0A0C4DFP7
ENSP00000467951	K7EQS0
ENSP00000343230	Q9BXJ1
ENSP00000462990	Q9BXJ1
ENSP00000463922	Q9BXJ1
ENSP00000340864	Q9BXJ1
ENSP00000311265	A0A0C4DFP7
ENSP00000467211	K7EP36
ENSP00000465729	K7EKQ5
ENSP00000468774	K7ESM3
ENSP00000468586	K7ES75
ENSP00000465120	K7EJD3
ENSP00000262776	Q08380
ENSP00000466637	K7EMT2
ENSP00000467970	K7EQT4
ENSP00000466567	K7EMM6
ENSP00000467886	K7EIP9
ENSP00000464841	K7EIP9
ENSP00000477798	Q8WVQ1
ENSP00000376241	Q8WVQ1
ENSP00000307674	Q8WVQ1
ENSP00000467437	Q8WVQ1
ENSP00000465816	K7EKW6
ENSP00000465769	K7EKT2
ENSP00000262768	P16035
ENSP00000459342	I3L235
ENSP00000465380	K7EJY8
ENSP00000467777	K7EQD4
ENSP00000465252	K7EJN5
ENSP00000269397	O00257
ENSP00000466212	K7ELT3
ENSP00000468194	K7ERC1
ENSP00000465183	K7EJI3
ENSP00000467584	B4DFW2
ENSP00000441724	B4DFW2
ENSP00000468296	B4DFW2
ENSP00000462333	Q8NFI3
ENSP00000464186	J3QRF4
ENSP00000497797	A0A3B3ITL7
ENSP00000463964	J3QQZ2
ENSP00000463653	A6NFN3
ENSP00000462007	A6NFN3
ENSP00000415348	F8WCW6
ENSP00000296776	Q8WUU8
ENSP00000296799	Q8N1W1
ENSP00000296794	Q8N1W1
ENSP00000441913	Q8N1W1
ENSP00000441436	Q8N1W1
ENSP00000411459	Q8N1W1
ENSP00000412175	Q8N1W1
ENSP00000460429	I3L3G5
ENSP00000332656	Q6UWV6
ENSP00000467872	K7EQK7
ENSP00000465968	B4DFW2
ENSP00000481581	Q16676
ENSP00000421859	D6RAP0
ENSP00000486535	A0A0D9SFE9
ENSP00000343657	Q9HCC0
ENSP00000420994	D6RDF7
ENSP00000421081	D6RGZ3
ENSP00000299576	Q9NQ31
ENSP00000310459	Q9NQ31
ENSP00000310644	Q9NQ31
ENSP00000379885	Q9NQ31
ENSP00000431331	Q9NQ31
ENSP00000431602	H0YCH8
ENSP00000436818	Q9NQ32
ENSP00000318999	Q9NQ32
ENSP00000429969	Q9NQ36
ENSP00000497523	A0A3B3ISZ7
ENSP00000310658	Q9NQ36
ENSP00000415187	Q9NQ36
ENSP00000480141	Q5BJD5
ENSP00000433126	Q5BJD5
ENSP00000435685	E9PJ42
ENSP00000425474	D6RD67
ENSP00000296777	Q16568
ENSP00000426312	D6RGJ3
ENSP00000431139	E9PME1
ENSP00000433361	Q9NQ34
ENSP00000369042	O95373
ENSP00000432872	E9PN93
ENSP00000431487	Q9NQ34
ENSP00000431673	E9PK36
ENSP00000432373	E9PR12
ENSP00000434332	E9PQU6
ENSP00000311842	Q9NQ34
ENSP00000433647	E9PJY5
ENSP00000431252	E9PM84
ENSP00000434935	E9PMJ9
ENSP00000433346	E9PLH6
ENSP00000433008	E9PMP1
ENSP00000431332	E9PLR2
ENSP00000486575	E9PLJ0
ENSP00000434961	E9PMI7
ENSP00000431990	E9PII1
ENSP00000436480	Q5BJD5
ENSP00000435770	Q9NQ33
ENSP00000403998	Q86WA9
ENSP00000440724	Q86WA9
ENSP00000459470	Q86WA9
ENSP00000458831	I3L1H1
ENSP00000355384	Q86WA9
ENSP00000459420	I3L266
ENSP00000464087	A0A0A0MTR7
ENSP00000425956	A0A0A0MTC1
ENSP00000324392	Q63HN8
ENSP00000344148	Q9H3T2
ENSP00000346464	Q15906
ENSP00000357879	P55036
ENSP00000357909	Q9H3T2
ENSP00000357887	Q15906
ENSP00000357876	Q5VWC4
ENSP00000357908	Q9H3T2
ENSP00000414499	A6PVX3
ENSP00000357910	Q9H3T2
ENSP00000427004	Q969S9
ENSP00000296805	Q969S9
ENSP00000296804	Q969S9
ENSP00000424578	D6RB01
ENSP00000373808	Q9Y6X4
ENSP00000423631	D6R953
ENSP00000435235	E9PLB2
ENSP00000435228	E9PLB6
ENSP00000274361	Q8N7Z5
ENSP00000427262	D6RJB7
ENSP00000436748	E9PI72
ENSP00000434930	E9PI72
ENSP00000310205	Q9NQ35
ENSP00000432002	H0YCM9
ENSP00000406333	Q5JR82
ENSP00000295314	Q9NZQ9
ENSP00000458521	I3L124
ENSP00000459735	I3L2J9
ENSP00000405808	Q969S9
ENSP00000458234	I3L0N9
ENSP00000421451	D6RFI5
ENSP00000260505	Q6ZT98
ENSP00000317027	Q9P109
ENSP00000421717	D6RAL1
ENSP00000426745	P04035
ENSP00000287936	P04035
ENSP00000340816	P04035
ENSP00000409100	C9JKX7
ENSP00000435925	E9PRS6
ENSP00000435180	E9PLD7
ENSP00000435562	E9PJP0
ENSP00000432451	B7Z3Y4
ENSP00000433845	E9PIW3
ENSP00000328524	Q6IQ26
ENSP00000435866	Q6IQ26
ENSP00000433175	E9PM32
ENSP00000357885	Q99755
ENSP00000497659	Q7Z465
ENSP00000392780	A6PW56
ENSP00000319829	Q8N1G0
ENSP00000357927	Q7Z465
ENSP00000357883	Q99755
ENSP00000336620	Q8N1G0
ENSP00000295294	Q7Z465
ENSP00000271663	Q99755
ENSP00000376550	F8W685
ENSP00000386432	A6PW57
ENSP00000415648	Q99755
ENSP00000401228	A2A5X0
ENSP00000414632	A6PW58
ENSP00000436363	E9PPS6
ENSP00000436154	E9PQM5
ENSP00000434638	E9PPB0
ENSP00000379849	P52747
ENSP00000379847	P52747
ENSP00000432154	P52747
ENSP00000434922	E9PMY8
ENSP00000433221	E9PLN4
ENSP00000379843	P52747
ENSP00000409432	C9JTC5
ENSP00000435881	E9PS81
ENSP00000299606	E7EN86
ENSP00000433743	E9PJF2
ENSP00000388628	C9JRS3
ENSP00000395221	C9JCG1
ENSP00000392323	C9J2G7
ENSP00000395261	A2A3Q2
ENSP00000484660	A0A087X234
ENSP00000306356	O14682
ENSP00000479101	O14682
ENSP00000423804	O14682
ENSP00000357922	Q9BUN1
ENSP00000390906	P22694
ENSP00000390906	B1APF7
ENSP00000401252	P22694
ENSP00000393654	B1APG0
ENSP00000359714	B1APG3
ENSP00000479722	P22694
ENSP00000378315	P22694
ENSP00000392275	B1APF8
ENSP00000397175	B1APG2
ENSP00000424877	D6RF75
ENSP00000434726	E9PN38
ENSP00000433510	B4DGE2
ENSP00000434785	E9PNI1
ENSP00000434820	E9PN38
ENSP00000359723	P22694
ENSP00000359722	P22694
ENSP00000359719	P22694
ENSP00000359718	B1APF9
ENSP00000481980	P22694
ENSP00000399326	B1APG1
ENSP00000475845	Q9NRR8
ENSP00000445647	Q9NRR8
ENSP00000349773	Q9NRR8
ENSP00000314606	P51688
ENSP00000357917	Q13015
ENSP00000357914	Q8TAK5
ENSP00000357912	Q5SZG2
ENSP00000479339	A0A087WVC4
ENSP00000416942	A6PVV7
ENSP00000357906	Q6P589
ENSP00000296802	A0A0A0MQZ6
ENSP00000483484	O95478
ENSP00000495172	A0A2R8YE18
ENSP00000494969	A0A2R8YFA1
ENSP00000357904	Q96S90
ENSP00000404059	Q96S90
ENSP00000420871	H0Y8F6
ENSP00000436989	E9PPN7
ENSP00000458200	I3L0M2
ENSP00000461128	I3L4B7
ENSP00000459765	I3L2L4
ENSP00000460720	I3L3T3
ENSP00000357898	Q9BWG6
ENSP00000433149	Q9UBF8
ENSP00000357866	Q9UBF8
ENSP00000473282	Q9BWG6
ENSP00000357901	Q9BWG6
ENSP00000410974	A6PVV8
ENSP00000357868	Q9UBF8
ENSP00000357869	A0A0B4J1S8
ENSP00000357867	Q9UBF8
ENSP00000496016	A0A2R8Y7C5
ENSP00000261416	P07686
ENSP00000495798	A0A2R8Y773
ENSP00000496243	Q9Y5P4
ENSP00000494110	Q9Y5P4
ENSP00000261415	Q9Y5P4
ENSP00000494804	A0A2R8Y5S9
ENSP00000494968	A0A2R8Y5S9
ENSP00000494424	A0A2R8YEK8
ENSP00000493563	Q9Y5P4
ENSP00000383996	Q9Y5P4
ENSP00000495760	Q9Y5P4
ENSP00000496462	A0A2R8Y7Q9
ENSP00000495446	Q9Y5P4
ENSP00000426285	Q5URX0
ENSP00000422943	D6R9D7
ENSP00000432426	H0YCW3
ENSP00000390769	H0Y4B4
ENSP00000389130	P48382
ENSP00000376502	F8W689
ENSP00000290524	P48382
ENSP00000357864	P48382
ENSP00000460535	I3L3K8
ENSP00000399095	A0A0A0MSQ2
ENSP00000413599	F8W860
ENSP00000359664	Q01459
ENSP00000307272	Q8N122
ENSP00000459787	I3L2M4
ENSP00000442479	Q8N122
ENSP00000458735	I3L1C8
ENSP00000391837	B4DWA1
ENSP00000315685	Q9UQB8
ENSP00000401022	Q9UQB8
ENSP00000458964	Q9UQB8
ENSP00000461144	I3L4C2
ENSP00000413069	Q9UQB8
ENSP00000316338	Q9UQB8
ENSP00000324196	Q6ZMQ8
ENSP00000398796	H7C175
ENSP00000460685	Q8N8Q3
ENSP00000428283	H0YAY5
ENSP00000430639	H0YBZ5
ENSP00000429190	Q8N8Q3
ENSP00000431036	Q8N8Q3
ENSP00000317810	Q8N8Q3
ENSP00000458185	I3L0L4
ENSP00000458391	Q8N8Q3
ENSP00000461577	Q8N8Q3
ENSP00000459831	A0A0G2JLD4
ENSP00000461563	I3L4V7
ENSP00000458361	Q8N8Q3
ENSP00000458440	I3L0Y9
ENSP00000461101	I3L4A3
ENSP00000458202	I3L0M4
ENSP00000460131	I3L327
ENSP00000458522	I3L125
ENSP00000461736	I3L526
ENSP00000497499	A0A3B3ISX0
ENSP00000427921	E5RFW0
ENSP00000494810	A0A2R8Y5H3
ENSP00000424939	D6REQ8
ENSP00000317468	Q96FZ7
ENSP00000461098	I3L4A1
ENSP00000461238	I3L4G8
ENSP00000359679	P63218
ENSP00000359675	P63218
ENSP00000429603	E5RHX4
ENSP00000459127	I3L1V3
ENSP00000461060	I3L485
ENSP00000460940	I3L436
ENSP00000496472	A0A2R8YFI2
ENSP00000307549	Q15818
ENSP00000497211	A0A3B3ISC2
ENSP00000460202	I3L360
ENSP00000284027	Q8IZK6
ENSP00000359640	Q8IZK6
ENSP00000412781	Q9Y2D8
ENSP00000340279	Q9Y2D8
ENSP00000474480	Q9Y2D8
ENSP00000460136	Q8N122
ENSP00000458494	I3L113
ENSP00000490956	A0A1B0GWK0
ENSP00000363914	Q9UPN4
ENSP00000269392	Q9UPN4
ENSP00000460006	I3L2X7
ENSP00000393583	Q9UPN4
ENSP00000459733	I3L2J8
ENSP00000399481	Q8NA72
ENSP00000410216	Q8NA72
ENSP00000420971	D6RDG4
ENSP00000426796	Q8NA72
ENSP00000460389	I3L3E4
ENSP00000241436	Q9UBT6
ENSP00000425208	D6RDX9
ENSP00000424174	Q9UBT6
ENSP00000425075	Q9UBT6
ENSP00000426853	Q9UBT6
ENSP00000424264	D6RBC1
ENSP00000473763	S4R2Y6
ENSP00000342698	Q8TDD5
ENSP00000359621	Q8TDD5
ENSP00000294664	Q8IWG1
ENSP00000435544	H0YEC9
ENSP00000359628	Q8IWG1
ENSP00000317463	Q8IWG1
ENSP00000386836	Q7Z3K3
ENSP00000398666	F6UE82
ENSP00000431259	Q7Z3K3
ENSP00000409187	F6R6G4
ENSP00000357856	Q7Z3K3
ENSP00000418408	Q7Z3K3
ENSP00000387618	F6X9D6
ENSP00000432295	H0YCT3
ENSP00000396810	A0A0A0MSM9
ENSP00000376484	Q7Z3K3
ENSP00000271715	Q7Z3K3
ENSP00000431501	E9PL47
ENSP00000413153	A0A0A0MT34
ENSP00000419417	Q8N6N3
ENSP00000359643	Q9UBY5
ENSP00000359696	Q8WZ79
ENSP00000345092	Q8N6N3
ENSP00000395389	Q9UBY5
ENSP00000359699	Q8WZ79
ENSP00000359688	Q9H9Y2
ENSP00000498104	O95999
ENSP00000480561	A0A087WWW9
ENSP00000390720	F6S3S0
ENSP00000284031	O94760
ENSP00000411189	O94760
ENSP00000488725	B4DYP1
ENSP00000359619	B1ANB7
ENSP00000340594	Q5VT97
ENSP00000359707	Q5VXD3
ENSP00000359705	Q5VXD3
ENSP00000378311	Q5VXD3
ENSP00000359703	Q5VXD3
ENSP00000359702	Q5VXD3
ENSP00000359704	Q5VXD3
ENSP00000416067	C9JIX7
ENSP00000398736	O00622
ENSP00000391978	H7BZX5
ENSP00000435102	E9PLW4
ENSP00000359690	X6R7Q1
ENSP00000462154	Q9P281
ENSP00000300714	Q96N21
ENSP00000363891	Q9HBR0
ENSP00000490393	A0A1B0GV70
ENSP00000288439	Q9HBR0
ENSP00000439115	F5H3T4
ENSP00000437601	H0YF92
ENSP00000394719	A0A0A0MSL0
ENSP00000357861	Q13228
ENSP00000413960	Q13228
ENSP00000397261	Q13228
ENSP00000461490	I3L4S7
ENSP00000400184	A1L188
ENSP00000414344	Q9NWK9
ENSP00000359606	Q9NWK9
ENSP00000425726	D6RJ06
ENSP00000425108	D6REA5
ENSP00000458435	P63261
ENSP00000477968	P63261
ENSP00000458162	P63261
ENSP00000459124	P63261
ENSP00000493648	A0A804GS07
ENSP00000406222	A6PVX1
ENSP00000290541	P28070
ENSP00000433934	E9PIR8
ENSP00000433637	E9PJY9
ENSP00000395332	A6PW30
ENSP00000433092	Q9ULJ1
ENSP00000433092	H0YD68
ENSP00000359603	Q17RW2
ENSP00000359597	Q9ULJ1
ENSP00000294678	Q9ULJ1
ENSP00000320165	Q9ULJ1
ENSP00000432834	E9PNP0
ENSP00000359600	Q9ULJ1
ENSP00000378220	B5ME44
ENSP00000359594	Q14CN2
ENSP00000400841	C9JVL0
ENSP00000493565	A0A2R8Y3S9
ENSP00000423541	Q496J9
ENSP00000316983	B3KT41
ENSP00000441355	Q9Y371
ENSP00000473267	Q9Y371
ENSP00000418744	Q9Y371
ENSP00000479919	A0A087WW40
ENSP00000437043	H0YF19
ENSP00000437292	E9PMV9
ENSP00000432632	E9PMV9
ENSP00000317851	B1AL79
ENSP00000359552	Q16513
ENSP00000359544	Q16513
ENSP00000461407	I3L4N8
ENSP00000434740	E9PNK8
ENSP00000460464	P63261
ENSP00000460464	I3L3I0
ENSP00000459119	P63261
ENSP00000459119	I3L1U9
ENSP00000359596	Q9UQC9
ENSP00000460660	P63261
ENSP00000460660	I3L3R2
ENSP00000466346	P63261
ENSP00000466346	K7EM38
ENSP00000328729	O60613
ENSP00000359531	Q00403
ENSP00000383810	A8MZD0
ENSP00000234701	A8K7I4
ENSP00000378200	A8K7I4
ENSP00000415741	B1APE1
ENSP00000359585	O60613
ENSP00000488294	A0A0J9YX89
ENSP00000402345	B1APE2
ENSP00000471417	A6NHY2
ENSP00000442313	F5H7S7
ENSP00000274364	Q13576
ENSP00000423672	D6R939
ENSP00000334665	O14926
ENSP00000388716	O14926
ENSP00000390156	Q7Z3K3
ENSP00000390156	A0A0G2JHK5
ENSP00000425532	A2A3M4
ENSP00000422299	A2A3M4
ENSP00000410836	A6PVU7
ENSP00000271636	Q9P2M7
ENSP00000290583	Q5SZQ8
ENSP00000290585	Q5SZQ8
ENSP00000357817	Q9Y2W6
ENSP00000357815	Q9Y2W6
ENSP00000357813	Q5SZR4
ENSP00000357812	Q9Y2W6
ENSP00000395718	Q9Y2W6
ENSP00000357819	Q9Y2W6
ENSP00000359582	Q7LGA3
ENSP00000359581	Q7LGA3
ENSP00000467253	K7EP71
ENSP00000359522	Q6YP21
ENSP00000260508	Q6YP21
ENSP00000359517	A0A0A0MRN7
ENSP00000357796	Q5QJ38
ENSP00000431557	E9PKN8
ENSP00000357842	Q9NNX1
ENSP00000376476	A6PVU8
ENSP00000357841	Q9NNX1
ENSP00000415904	H0Y7Y4
ENSP00000463055	Q5SZR7
ENSP00000383784	Q9UMX2
ENSP00000383784	A8MW57
ENSP00000489420	A0A0U1RRA2
ENSP00000489350	A0A0U1RR57
ENSP00000313922	A0A0G2JH29
ENSP00000420280	C9JPK7
ENSP00000359512	Q9H0R5
ENSP00000359573	P61968
ENSP00000415087	Q5T8M0
ENSP00000359575	P61968
ENSP00000480484	Q07283
ENSP00000389554	B7Z1M9
ENSP00000327025	P51449
ENSP00000349164	P51449
ENSP00000357836	Q96L92
ENSP00000400333	Q96L92
ENSP00000496645	A0A2R8Y8A7
ENSP00000357807	Q8N1Q8
ENSP00000357810	Q6UY18
ENSP00000419249	A6NNX1
ENSP00000359504	P32455
ENSP00000490152	A0A1B0GUK8
ENSP00000318415	Q96E39
ENSP00000446099	Q96E39
ENSP00000455317	H3BPH2
ENSP00000357823	Q9BYD2
ENSP00000357822	Q5SZR1
ENSP00000357804	Q5T1C6
ENSP00000433304	E9PLJ7
ENSP00000426703	O00254
ENSP00000379535	Q13576
ENSP00000296641	O00254
ENSP00000426027	Q13576
ENSP00000333283	Q0VG06
ENSP00000438149	F5H095
ENSP00000444241	F5GZS4
ENSP00000435587	E9PJM7
ENSP00000399056	E7EMB1
ENSP00000315630	Q9UH65
ENSP00000422661	E9PDT6
ENSP00000425351	D6RDK8
ENSP00000359497	P32456
ENSP00000403010	E7ETN8
ENSP00000359488	Q96PP8
ENSP00000294671	Q8N8V2
ENSP00000496924	A0A3B3IRS3
ENSP00000400704	A0A7I2RK03
ENSP00000491377	Q6P9F7
ENSP00000492151	Q6P9F7
ENSP00000332674	Q6P9F7
ENSP00000432707	E9PPG2
ENSP00000379802	Q01432
ENSP00000433284	E9PLK6
ENSP00000379801	Q01432
ENSP00000436987	Q01432
ENSP00000431648	Q01432
ENSP00000359485	Q6ZN66
ENSP00000357801	P60903
ENSP00000357799	P60903
ENSP00000359483	Q8TDW0
ENSP00000443415	F5H5G6
ENSP00000399674	E7EVV8
ENSP00000331487	Q8TAT6
ENSP00000467400	K7EJN1
ENSP00000465247	K7EJN1
ENSP00000460465	I3L3I1
ENSP00000384051	Q58F21
ENSP00000490161	Q5XKL5
ENSP00000212355	Q03167
ENSP00000354568	Q58F21
ENSP00000343686	A0A8V8N7F1
ENSP00000359426	Q03167
