From	To
Q13765	ENSP00000446801.1
Q13765	ENSP00000447821.1
Q13765	ENSP00000503345.1
P20290	ENSP00000338516.8
P20290	ENSP00000369965.3
P01031	ENSP00000223642.1
Q9Y5S9	ENSP00000358313.3
Q9Y5S9	ENSP00000463058.2
Q9Y5S9	ENSP00000488265.1
Q9Y5S9	ENSP00000510519.1
Q96A72	ENSP00000319240.2
P38919	ENSP00000497661.1
P38919	ENSP00000497641.1
P38919	ENSP00000516984.1
P38919	ENSP00000516985.1
O15234	ENSP00000264645.6
Q9BQA1	ENSP00000235090.5
P54105	ENSP00000433919.1
P54105	ENSP00000434311.1
O14744	ENSP00000216350.8
O14744	ENSP00000319169.8
O14744	ENSP00000380582.4
O14744	ENSP00000380583.2
O14744	ENSP00000452555.1
P37231	ENSP00000287820.6
Q99728	ENSP00000260947.4
Q99728	ENSP00000480470.1
Q99728	ENSP00000481988.1
P38398	ENSP00000312236.5
P38398	ENSP00000350283.3
P38398	ENSP00000418548.1
P38398	ENSP00000417988.1
P38398	ENSP00000417148.1
P38398	ENSP00000419274.2
P38398	ENSP00000418960.2
P38398	ENSP00000420705.2
P38398	ENSP00000418775.1
P38398	ENSP00000419103.2
P38398	ENSP00000478114.2
P38398	ENSP00000498906.2
P38398	ENSP00000518978.1
Q9UKK6	ENSP00000254998.2
Q9UBU9	ENSP00000294172.2
Q9UBU9	ENSP00000453885.1
Q9UBU9	ENSP00000436679.1
Q92794	ENSP00000265713.2
Q92794	ENSP00000380136.3
Q8WYH8	ENSP00000322142.7
Q8WYH8	ENSP00000385937.1
P55201	ENSP00000373340.2
P55201	ENSP00000402485.2
P55201	ENSP00000507469.1
P55201	ENSP00000506921.1
P55201	ENSP00000508256.1
O95696	ENSP00000216267.8
O95696	ENSP00000384076.1
O95696	ENSP00000385858.1
O95696	ENSP00000410042.3
Q9ULD4	ENSP00000345419.7
Q9ULD4	ENSP00000350267.6
Q9ULD4	ENSP00000434501.1
Q8WYB5	ENSP00000287239.4
Q8WYB5	ENSP00000361796.1
Q8WYB5	ENSP00000361799.1
Q8WYB5	ENSP00000361809.2
Q8WYB5	ENSP00000361810.1
Q8WYB5	ENSP00000485896.1
Q8WYB5	ENSP00000487238.2
Q8WYB5	ENSP00000487219.1
Q8WYB5	ENSP00000486731.1
Q8WYB5	ENSP00000486595.1
Q8WYB5	ENSP00000497352.1
Q8WYB5	ENSP00000497718.1
Q8WYB5	ENSP00000497841.1
Q8WYB5	ENSP00000497048.1
Q8WYB5	ENSP00000498139.1
Q8WYB5	ENSP00000497166.1
Q8WYB5	ENSP00000497416.1
Q8WYB5	ENSP00000497453.1
Q8TDP1	ENSP00000308193.5
Q8TDP1	ENSP00000435717.2
Q8TDP1	ENSP00000432081.2
Q8TDP1	ENSP00000493695.1
Q5TBB1	ENSP00000337623.2
Q5TBB1	ENSP00000389877.1
O75792	ENSP00000221486.4
P0DN86	ENSP00000301408.5
P0DN86	ENSP00000349954.2
P0DN86	ENSP00000403649.2
Q9UIG0	ENSP00000342434.4
Q9UIG0	ENSP00000385442.1
Q00987	ENSP00000258149.6
Q00987	ENSP00000299252.4
Q00987	ENSP00000353611.2
Q00987	ENSP00000377065.3
Q00987	ENSP00000444430.2
Q9NRG0	ENSP00000220913.5
Q9NRF9	ENSP00000363284.3
Q9NRF9	ENSP00000363286.4
Q9BRT9	ENSP00000276533.3
Q9BRT9	ENSP00000428754.1
Q9BRT9	ENSP00000429581.1
Q9BRX5	ENSP00000318196.6
Q9BRX5	ENSP00000327449.7
Q9BRX5	ENSP00000401018.2
Q9Y248	ENSP00000253462.3
Q14691	ENSP00000262460.4
Q14691	ENSP00000512943.1
Q9Y490	ENSP00000316029.9
Q9Y490	ENSP00000516659.1
P18206	ENSP00000211998.5
P18206	ENSP00000361841.3
P18887	ENSP00000262887.5
P49916	ENSP00000262327.4
P49916	ENSP00000367787.3
Q9NUW8	ENSP00000337353.4
Q9NUW8	ENSP00000377099.2
Q8IW19	ENSP00000307004.4
Q7Z2E3	ENSP00000311547.4
Q7Z2E3	ENSP00000369145.2
Q7Z2E3	ENSP00000369147.2
Q7Z2E3	ENSP00000369153.3
Q7Z2E3	ENSP00000400806.4
Q7Z2E3	ENSP00000418311.1
Q7Z2E3	ENSP00000419846.1
Q7Z2E3	ENSP00000418069.2
Q7Z2E3	ENSP00000419430.2
Q7Z2E3	ENSP00000418733.1
Q7Z2E3	ENSP00000420263.2
Q7Z2E3	ENSP00000419042.2
Q7Z2E3	ENSP00000420071.1
Q7Z2E3	ENSP00000419289.2
Q7Z2E3	ENSP00000418144.1
Q7Z2E3	ENSP00000417634.1
Q7Z2E3	ENSP00000499997.1
Q7Z2E3	ENSP00000500320.1
Q7Z2E3	ENSP00000499872.1
Q7Z2E3	ENSP00000500396.1
Q7Z2E3	ENSP00000500601.1
Q7Z2E3	ENSP00000500738.1
Q7Z2E3	ENSP00000500943.1
Q7Z2E3	ENSP00000499991.1
Q96T60	ENSP00000323511.2
Q96T60	ENSP00000472300.1
P06746	ENSP00000265421.4
Q7Z3B3	ENSP00000262419.6
Q7Z3B3	ENSP00000387393.3
Q7Z3B3	ENSP00000461484.1
Q9H9L4	ENSP00000415436.3
Q9H9L4	ENSP00000448131.1
Q9BVI0	ENSP00000363124.3
P61964	ENSP00000351446.3
Q9H7Z6	ENSP00000219797.3
Q9H7Z6	ENSP00000406037.2
Q9H7Z6	ENSP00000456933.2
Q96EZ8	ENSP00000345358.4
Q96EZ8	ENSP00000349640.4
Q96EZ8	ENSP00000444982.1
Q96EZ8	ENSP00000448056.1
Q8N5Y2	ENSP00000312244.4
Q8N5Y2	ENSP00000338078.2
Q8N5Y2	ENSP00000354562.2
Q8N5Y2	ENSP00000381538.2
Q8N5Y2	ENSP00000498064.1
Q8N5Y2	ENSP00000497518.1
Q8N5Y2	ENSP00000498017.1
Q8N5Y2	ENSP00000496967.1
Q8N5Y2	ENSP00000498168.1
Q8N5Y2	ENSP00000497137.1
Q8N5Y2	ENSP00000497496.1
Q8N5Y2	ENSP00000496944.1
Q8N5Y2	ENSP00000496838.1
Q9HCI7	ENSP00000311827.2
Q9HCI7	ENSP00000387948.2
Q9HCI7	ENSP00000418655.2
Q9HCI7	ENSP00000418752.2
Q9HCI7	ENSP00000417956.2
Q9HCI7	ENSP00000515170.1
Q9HCI7	ENSP00000515171.1
Q68DK7	ENSP00000381543.3
Q68DK7	ENSP00000462945.1
Q86YC2	ENSP00000261584.4
P51587	ENSP00000369497.3
P51587	ENSP00000439902.1
P51587	ENSP00000505508.1
Q9ULG1	ENSP00000497609.1
Q9Y5K5	ENSP00000356418.1
Q9Y5K5	ENSP00000356419.1
Q9Y5K5	ENSP00000356424.1
Q9Y5K5	ENSP00000356425.3
Q9H9F9	ENSP00000243903.4
Q6PI98	ENSP00000334473.6
Q6PI98	ENSP00000391457.1
Q6PI98	ENSP00000465273.1
Q6P4R8	ENSP00000400476.2
Q6P4R8	ENSP00000433572.1
Q6P4R8	ENSP00000436926.1
Q6P4R8	ENSP00000506850.1
Q8NBZ0	ENSP00000456073.1
Q8NBZ0	ENSP00000457016.1
Q8NBZ0	ENSP00000454665.1
Q8NBZ0	ENSP00000484187.1
Q9Y230	ENSP00000473172.1
Q9H981	ENSP00000336842.3
Q9H981	ENSP00000419429.1
Q9Y265	ENSP00000318297.5
P60903	ENSP00000357799.1
P60903	ENSP00000357801.3
Q14527	ENSP00000308944.5
Q14527	ENSP00000376644.2
Q14527	ENSP00000420429.1
Q16611	ENSP00000363591.3
Q16611	ENSP00000391258.2
Q9BQQ3	ENSP00000313869.3
Q9BQQ3	ENSP00000403552.1
Q9BQQ3	ENSP00000403167.2
Q08379	ENSP00000416097.4
Q12873	ENSP00000332628.7
Q12873	ENSP00000350907.4
Q12873	ENSP00000369716.4
Q8WXI9	ENSP00000357644.4
Q8WXI9	ENSP00000458280.1
Q8WXI9	ENSP00000489184.1
Q16576	ENSP00000369424.4
Q16576	ENSP00000369427.3
Q13547	ENSP00000362649.3
Q13330	ENSP00000333633.7
Q13330	ENSP00000384180.1
Q13330	ENSP00000393438.1
Q86YP4	ENSP00000351552.3
Q86YP4	ENSP00000353463.3
Q86YP4	ENSP00000384899.2
Q86YP4	ENSP00000508398.1
Q14839	ENSP00000440542.2
Q14839	ENSP00000496634.1
O94776	ENSP00000278823.2
O94776	ENSP00000431346.1
O94776	ENSP00000431797.1
P13647	ENSP00000252242.4
P02533	ENSP00000167586.6
Q8WXF1	ENSP00000343966.4
Q8WXF1	ENSP00000436038.1
Q8WXF1	ENSP00000435921.1
Q8WXF1	ENSP00000481916.1
Q15233	ENSP00000276079.8
Q15233	ENSP00000362947.1
Q15233	ENSP00000410299.2
Q15233	ENSP00000415777.2
Q15233	ENSP00000406673.2
Q15233	ENSP00000441364.1
Q15233	ENSP00000503920.1
Q15233	ENSP00000504314.1
Q15233	ENSP00000503031.1
Q15233	ENSP00000504351.1
Q15233	ENSP00000503233.1
P63272	ENSP00000225504.3
P63272	ENSP00000462670.1
O00267	ENSP00000352117.6
O00267	ENSP00000384505.2
O00267	ENSP00000404029.4
O00267	ENSP00000469090.1
O00267	ENSP00000470252.1
Q9Y2C9	ENSP00000371376.1
Q9Y2C9	ENSP00000424718.2
O60603	ENSP00000260010.6
O60603	ENSP00000495339.1
O60603	ENSP00000494425.1
O60603	ENSP00000496208.2
O60603	ENSP00000496676.2
O60603	ENSP00000493968.2
O60603	ENSP00000519700.1
O60603	ENSP00000519701.1
O60603	ENSP00000519702.1
O60603	ENSP00000519703.1
O60603	ENSP00000519704.1
Q15399	ENSP00000354932.2
Q15399	ENSP00000421259.1
Q15744	ENSP00000206513.5
P67870	ENSP00000365025.2
P67870	ENSP00000365026.2
P67870	ENSP00000365042.3
P67870	ENSP00000372919.2
P67870	ENSP00000372925.4
P67870	ENSP00000382980.1
P67870	ENSP00000413469.1
P67870	ENSP00000411322.1
P67870	ENSP00000407018.2
P67870	ENSP00000409510.1
P67870	ENSP00000394855.1
P67870	ENSP00000412520.1
P67870	ENSP00000400188.2
P67870	ENSP00000391038.1
P67870	ENSP00000415303.2
P67870	ENSP00000415237.2
P67870	ENSP00000395275.1
P67870	ENSP00000390900.2
P67870	ENSP00000393756.1
P67870	ENSP00000407379.1
P67870	ENSP00000410802.1
P68400	ENSP00000217244.3
P68400	ENSP00000339247.6
P68400	ENSP00000383076.2
P68400	ENSP00000495248.1
P68400	ENSP00000495387.1
P68400	ENSP00000495998.1
P68400	ENSP00000495902.1
P68400	ENSP00000495439.1
P68400	ENSP00000496569.1
P68400	ENSP00000495422.1
P68400	ENSP00000495912.1
P21675	ENSP00000362895.5
P21675	ENSP00000406549.2
P21675	ENSP00000520427.1
Q15542	ENSP00000358854.3
Q15542	ENSP00000510076.1
Q16514	ENSP00000263974.4
Q16514	ENSP00000362930.4
Q16514	ENSP00000509153.1
Q16514	ENSP00000509370.1
Q16514	ENSP00000509051.1
P49848	ENSP00000344537.4
P49848	ENSP00000399982.2
P49848	ENSP00000416396.1
P49848	ENSP00000389575.2
P49848	ENSP00000427710.3
P49848	ENSP00000419760.2
P49848	ENSP00000510209.1
P49848	ENSP00000510809.1
P49848	ENSP00000510270.1
P49848	ENSP00000510166.1
P49848	ENSP00000508432.1
P49848	ENSP00000508852.1
P49848	ENSP00000509158.1
P49848	ENSP00000510217.1
P49848	ENSP00000509741.1
P49848	ENSP00000508679.1
P49848	ENSP00000508691.1
P49848	ENSP00000510409.1
P49848	ENSP00000509783.1
P49848	ENSP00000509866.1
P49848	ENSP00000509821.1
P49848	ENSP00000509320.1
P49848	ENSP00000509500.1
P49848	ENSP00000509494.1
P49848	ENSP00000508788.1
P49848	ENSP00000509041.1
P49848	ENSP00000509335.1
O00268	ENSP00000252996.3
Q6P1X5	ENSP00000367406.2
Q15545	ENSP00000312709.5
Q15545	ENSP00000485510.2
Q16594	ENSP00000217893.7
Q16594	ENSP00000370193.1
Q16594	ENSP00000425944.4
Q16594	ENSP00000426283.2
Q16594	ENSP00000421873.1
Q16594	ENSP00000427617.4
Q16594	ENSP00000427343.4
Q16594	ENSP00000425798.4
Q16594	ENSP00000478935.1
Q16594	ENSP00000477750.1
Q16594	ENSP00000477611.1
Q16594	ENSP00000509753.1
Q16594	ENSP00000510364.1
Q16594	ENSP00000508645.1
Q16594	ENSP00000510605.1
Q16594	ENSP00000509913.1
Q16594	ENSP00000509452.1
Q16594	ENSP00000510101.1
Q16594	ENSP00000509848.1
Q7Z7C8	ENSP00000362068.3
Q7Z7C8	ENSP00000362073.4
Q7Z7C8	ENSP00000411900.2
Q7Z7C8	ENSP00000417867.1
Q15544	ENSP00000354633.4
Q15544	ENSP00000408121.2
Q15543	ENSP00000355051.4
Q12962	ENSP00000299424.4
O95983	ENSP00000156825.2
O95983	ENSP00000412302.2
Q9GZY0	ENSP00000472530.1
Q9GZY0	ENSP00000474659.2
Q9GZY0	ENSP00000474598.2
Q9GZY0	ENSP00000485586.2
P00451	ENSP00000327895.6
P00451	ENSP00000353393.4
Q92750	ENSP00000269142.6
Q92750	ENSP00000389365.3
Q5VWG9	ENSP00000340271.5
P46531	ENSP00000498587.1
Q92585	ENSP00000292599.3
Q92585	ENSP00000491444.1
Q06330	ENSP00000345206.1
Q06330	ENSP00000340124.4
Q06330	ENSP00000305815.6
Q06330	ENSP00000339699.5
Q06330	ENSP00000347659.4
Q06330	ENSP00000354528.6
Q06330	ENSP00000421804.2
Q06330	ENSP00000426872.2
Q06330	ENSP00000423907.1
Q06330	ENSP00000423644.2
Q06330	ENSP00000505493.1
Q06330	ENSP00000504964.1
Q06330	ENSP00000505255.1
Q06330	ENSP00000505636.1
Q16630	ENSP00000266679.8
Q16630	ENSP00000391774.2
O43809	ENSP00000300291.5
P01308	ENSP00000250971.3
P01308	ENSP00000370731.5
P01308	ENSP00000380432.1
Q9Y6K1	ENSP00000264709.3
Q9Y6K1	ENSP00000324375.5
Q9Y6K1	ENSP00000370122.4
Q9Y6K1	ENSP00000384852.3
Q9UJW3	ENSP00000270172.3
Q9UJW3	ENSP00000486001.1
O00206	ENSP00000363089.5
O00206	ENSP00000377997.4
P31153	ENSP00000303147.3
P31153	ENSP00000386353.1
Q9NZL9	ENSP00000280969.5
Q9NZL9	ENSP00000325425.6
Q9NZL9	ENSP00000428046.1
Q9NZL9	ENSP00000511609.1
Q8N684	ENSP00000345412.4
Q8N684	ENSP00000378352.4
Q8N684	ENSP00000397203.3
Q8N684	ENSP00000407394.1
P29466	ENSP00000410076.3
P29466	ENSP00000434779.1
P29466	ENSP00000434250.1
P29466	ENSP00000434303.1
P29466	ENSP00000433138.1
P29466	ENSP00000436875.1
P29466	ENSP00000512117.1
P46736	ENSP00000328641.7
P46736	ENSP00000344103.4
P46736	ENSP00000358471.2
P46736	ENSP00000358474.1
Q06609	ENSP00000267868.3
Q06609	ENSP00000372088.3
Q06609	ENSP00000406602.2
Q06609	ENSP00000433924.2
Q06609	ENSP00000454176.1
Q06609	ENSP00000493712.2
P42575	ENSP00000312664.5
P42574	ENSP00000311032.4
P42574	ENSP00000428929.1
P42574	ENSP00000514797.1
P42574	ENSP00000514798.1
P55212	ENSP00000265164.2
P55212	ENSP00000285333.3
P01024	ENSP00000245907.4
Q14790	ENSP00000264275.5
Q14790	ENSP00000325722.7
Q14790	ENSP00000351273.4
Q14790	ENSP00000376087.3
Q14790	ENSP00000376091.2
Q14790	ENSP00000397528.2
Q14790	ENSP00000412523.2
Q14790	ENSP00000396869.2
Q14790	ENSP00000394434.3
Q14790	ENSP00000388306.2
Q14790	ENSP00000501268.1
Q14790	ENSP00000512369.1
Q14790	ENSP00000512370.1
Q14790	ENSP00000512382.1
Q9H2F5	ENSP00000263062.8
Q9H2F5	ENSP00000318559.6
Q9H2F5	ENSP00000364251.2
Q05BQ5	ENSP00000365561.3
Q05BQ5	ENSP00000386072.3
Q05BQ5	ENSP00000403946.1
Q05BQ5	ENSP00000468304.1
Q9UBU8	ENSP00000331310.5
Q9UBU8	ENSP00000408880.2
Q9UBU8	ENSP00000452808.1
Q9UBU8	ENSP00000452717.1
Q9NV56	ENSP00000359518.3
Q9NTJ3	ENSP00000341382.5
Q9NTJ3	ENSP00000349961.3
Q9NTJ3	ENSP00000420734.1
Q15003	ENSP00000240423.4
Q15003	ENSP00000400774.1
O95347	ENSP00000286398.7
O95347	ENSP00000363919.3
O95347	ENSP00000363925.3
Q9BPX3	ENSP00000251496.2
Q15021	ENSP00000325017.5
O14713	ENSP00000238091.4
O14713	ENSP00000347504.4
O14713	ENSP00000353850.3
O14713	ENSP00000419524.1
O00522	ENSP00000344668.2
O00522	ENSP00000378011.2
O00522	ENSP00000378013.2
O00522	ENSP00000378015.1
O00522	ENSP00000410909.2
O00522	ENSP00000404790.2
O00522	ENSP00000388076.2
O00522	ENSP00000391675.2
O00522	ENSP00000510015.1
O00522	ENSP00000509139.1
O00522	ENSP00000509617.1
O00522	ENSP00000509939.1
O00522	ENSP00000509209.1
O00522	ENSP00000508543.1
O00522	ENSP00000510733.1
O00522	ENSP00000509832.1
O00522	ENSP00000510110.1
O00522	ENSP00000509514.1
O00522	ENSP00000508564.1
Q9BSQ5	ENSP00000258781.7
Q9BSQ5	ENSP00000370503.3
Q9BSQ5	ENSP00000444725.1
Q9BSQ5	ENSP00000438035.1
Q9BUL8	ENSP00000376506.2
Q9BUL8	ENSP00000420021.1
Q9BUL8	ENSP00000417202.1
Q9BUL8	ENSP00000418317.2
Q9BUL8	ENSP00000420553.2
Q6IBW4	ENSP00000299821.11
Q6IBW4	ENSP00000379050.3
Q6IBW4	ENSP00000410088.2
Q86XI2	ENSP00000348657.3
Q86XI2	ENSP00000387007.3
Q86XI2	ENSP00000386569.1
P42695	ENSP00000433681.3
P42695	ENSP00000508707.1
P42695	ENSP00000510391.1
O75528	ENSP00000307684.2
O75528	ENSP00000343649.2
O75528	ENSP00000393471.1
Q92831	ENSP00000263754.4
O75478	ENSP00000482484.1
O75478	ENSP00000481283.1
O75478	ENSP00000488016.1
O75478	ENSP00000487973.1
Q9Y6J9	ENSP00000294168.3
P55211	ENSP00000330237.5
P55211	ENSP00000255256.7
P55211	ENSP00000365051.4
Q92830	ENSP00000225916.5
Q14974	ENSP00000290158.3
Q14974	ENSP00000438253.2
Q14974	ENSP00000438964.1
Q14974	ENSP00000464042.2
P52292	ENSP00000332455.3
P52292	ENSP00000438483.2
P52292	ENSP00000462331.2
P52292	ENSP00000463602.2
P52292	ENSP00000504655.1
P52292	ENSP00000504685.1
O95149	ENSP00000309831.5
O95149	ENSP00000454852.1
O95149	ENSP00000458053.1
O95149	ENSP00000456224.1
P52294	ENSP00000343701.6
O00505	ENSP00000261667.3
O00629	ENSP00000334373.4
P05067	ENSP00000284981.4
P05067	ENSP00000345463.5
P05067	ENSP00000346129.3
P05067	ENSP00000350578.3
P05067	ENSP00000351796.3
P05067	ENSP00000387483.2
O15131	ENSP00000348704.1
O15131	ENSP00000357552.1
O60684	ENSP00000362728.3
A9QM74	ENSP00000330878.6
A9QM74	ENSP00000491331.1
A9QM74	ENSP00000506489.1
O75569	ENSP00000318176.4
O75569	ENSP00000393883.2
O75569	ENSP00000430604.1
Q15637	ENSP00000227503.9
Q15637	ENSP00000334414.5
Q15637	ENSP00000366604.1
Q15637	ENSP00000366607.3
Q15637	ENSP00000366611.3
Q15637	ENSP00000396793.2
P26368	ENSP00000307863.3
P26368	ENSP00000388475.1
O43524	ENSP00000339527.6
O43524	ENSP00000385824.1
O43524	ENSP00000446316.1
P63104	ENSP00000309503.3
P63104	ENSP00000379281.3
P63104	ENSP00000379283.2
P63104	ENSP00000379286.3
P63104	ENSP00000379287.2
P63104	ENSP00000379288.2
P63104	ENSP00000395114.2
P63104	ENSP00000398599.1
P63104	ENSP00000430072.1
Q9HC77	ENSP00000371308.4
Q9HC77	ENSP00000477511.1
Q15468	ENSP00000353544.3
Q15468	ENSP00000360944.3
Q8TEP8	ENSP00000427550.1
O00444	ENSP00000270861.5
O00444	ENSP00000427554.1
O00444	ENSP00000423582.1
P51531	ENSP00000265773.5
P51531	ENSP00000349788.2
P51531	ENSP00000371629.1
P51531	ENSP00000371638.1
O96019	ENSP00000376430.1
O96019	ENSP00000397552.2
O96019	ENSP00000394014.2
O14497	ENSP00000320485.7
O14497	ENSP00000363267.2
O14497	ENSP00000387636.2
Q92922	ENSP00000254480.5
Q12824	ENSP00000383984.3
Q12824	ENSP00000479330.1
Q12824	ENSP00000486870.1
Q12824	ENSP00000494049.2
P51532	ENSP00000343896.4
P51532	ENSP00000395654.1
P51532	ENSP00000392837.2
P51532	ENSP00000445036.2
P51532	ENSP00000464778.1
P51532	ENSP00000466963.1
P51532	ENSP00000496635.1
P51532	ENSP00000495548.1
P51532	ENSP00000494463.1
P51532	ENSP00000495536.1
P51532	ENSP00000494772.1
P51532	ENSP00000494676.1
P60709	ENSP00000494269.1
P60709	ENSP00000495995.2
P60709	ENSP00000494750.1
P60709	ENSP00000502821.1
P60709	ENSP00000501862.1
Q86U86	ENSP00000296302.7
Q86U86	ENSP00000338302.4
Q86U86	ENSP00000349213.4
Q86U86	ENSP00000378307.3
Q86U86	ENSP00000386593.1
Q86U86	ENSP00000386643.3
Q86U86	ENSP00000386601.1
Q86U86	ENSP00000386529.1
Q86U86	ENSP00000404579.1
O94805	ENSP00000160382.5
Q8WUB8	ENSP00000341805.4
Q8WUB8	ENSP00000355743.4
Q8WUB8	ENSP00000484117.1
Q8NFD5	ENSP00000344546.5
Q8NFD5	ENSP00000055163.8
Q8NFD5	ENSP00000490491.2
O94986	ENSP00000321000.5
O94986	ENSP00000370337.2
O94986	ENSP00000382271.3
Q14493	ENSP00000406322.2
Q14493	ENSP00000417686.1
A9UHW6	ENSP00000245551.5
A9UHW6	ENSP00000321625.8
A9UHW6	ENSP00000463334.1
A9UHW6	ENSP00000462655.2
A9UHW6	ENSP00000462459.1
A9UHW6	ENSP00000484245.1
Q09161	ENSP00000364289.3
P52298	ENSP00000326806.5
P52298	ENSP00000397619.2
P52298	ENSP00000412785.2
Q9H7E2	ENSP00000196169.3
Q9H7E2	ENSP00000367113.2
Q9H7E2	ENSP00000367126.2
Q9H7E2	ENSP00000477993.1
Q9H7E2	ENSP00000498191.1
O95985	ENSP00000349705.5
O95985	ENSP00000381773.2
Q9UI95	ENSP00000235310.2
Q9UI95	ENSP00000365855.3
Q9UI95	ENSP00000365882.4
Q9UI95	ENSP00000400982.2
Q86V20	ENSP00000298784.1
Q86V20	ENSP00000298786.3
Q8IYI0	ENSP00000305875.6
Q6ZNX1	ENSP00000424007.2
Q8WXE1	ENSP00000323099.3
Q8WXE1	ENSP00000302338.5
Q8WXE1	ENSP00000400930.1
Q13535	ENSP00000343741.4
Q13535	ENSP00000499589.1
Q53F19	ENSP00000373657.4
Q9HCE5	ENSP00000373474.3
Q86U44	ENSP00000298717.3
Q15007	ENSP00000336911.4
Q15007	ENSP00000351141.4
Q15007	ENSP00000479438.1
Q15007	ENSP00000497840.1
Q15661	ENSP00000343577.3
Q15661	ENSP00000456821.2
Q15661	ENSP00000502948.1
Q15661	ENSP00000518727.1
P20231	ENSP00000482743.1
P78560	ENSP00000327647.3
P78560	ENSP00000439068.2
P78560	ENSP00000448425.1
Q9HB75	ENSP00000337797.5
Q9HB75	ENSP00000416801.2
O60566	ENSP00000287598.7
O60566	ENSP00000398470.3
O43684	ENSP00000357851.5
O43684	ENSP00000357858.4
Q12834	ENSP00000308450.5
Q12834	ENSP00000361540.1
Q96LT7	ENSP00000369331.1
Q96LT7	ENSP00000369333.3
Q96LT7	ENSP00000369339.3
Q96LT7	ENSP00000482753.1
Q8TEV9	ENSP00000385025.3
Q8TEV9	ENSP00000492062.1
Q13563	ENSP00000237596.2
P98161	ENSP00000262304.4
P98161	ENSP00000399501.1
Q9ULZ3	ENSP00000247470.9
Q9ULZ3	ENSP00000340441.4
Q9C000	ENSP00000262467.5
Q9C000	ENSP00000269280.4
Q9C000	ENSP00000346390.3
Q9C000	ENSP00000442029.2
Q9C000	ENSP00000459661.3
Q9C000	ENSP00000460475.1
Q9C000	ENSP00000458303.2
Q9C000	ENSP00000460216.1
Q9C000	ENSP00000478516.1
Q9C000	ENSP00000514534.1
P02452	ENSP00000225964.6
O14862	ENSP00000357112.4
O14862	ENSP00000512039.1
O14862	ENSP00000512040.1
O15553	ENSP00000219596.1
O15553	ENSP00000445079.1
O15553	ENSP00000438711.1
Q9NPP4	ENSP00000339666.6
Q9NPP4	ENSP00000354159.5
Q9NPP4	ENSP00000385428.1
Q13075	ENSP00000443944.1
Q13075	ENSP00000424913.2
Q13075	ENSP00000428657.2
Q13075	ENSP00000428363.1
Q13075	ENSP00000484107.1
Q13075	ENSP00000484731.1
P49810	ENSP00000355746.2
P49810	ENSP00000355747.3
P49810	ENSP00000403737.2
P49810	ENSP00000429036.2
P49810	ENSP00000486498.2
P49810	ENSP00000503116.1
P49810	ENSP00000504728.1
P49810	ENSP00000504727.1
P49810	ENSP00000504303.1
P49768	ENSP00000326366.5
P49768	ENSP00000350342.4
P49768	ENSP00000377712.3
P49768	ENSP00000377719.1
P49768	ENSP00000452477.2
P49768	ENSP00000452242.1
P49768	ENSP00000451915.2
P49768	ENSP00000450845.1
P49768	ENSP00000450551.2
P49768	ENSP00000451429.1
P49768	ENSP00000514901.1
P49768	ENSP00000514903.1
P49768	ENSP00000514904.1
P49768	ENSP00000514905.1
P49768	ENSP00000514908.1
P49768	ENSP00000514933.1
P49768	ENSP00000514940.1
P49768	ENSP00000514944.1
P49768	ENSP00000514948.1
P49768	ENSP00000514949.1
P49768	ENSP00000514950.1
P49768	ENSP00000514951.1
P49768	ENSP00000514966.1
P49768	ENSP00000514968.1
P49768	ENSP00000514970.1
P49768	ENSP00000514987.1
P49768	ENSP00000515002.1
P07384	ENSP00000279247.7
P07384	ENSP00000434176.1
P07384	ENSP00000431984.1
P07384	ENSP00000431686.1
P07384	ENSP00000435272.1
P04632	ENSP00000246533.2
P04632	ENSP00000464849.1
Q07954	ENSP00000243077.3
Q07954	ENSP00000341264.4
Q9BPZ7	ENSP00000265960.3
Q9BPZ7	ENSP00000265961.5
Q9BPZ7	ENSP00000362597.1
Q9BPZ7	ENSP00000362602.3
Q9BPZ7	ENSP00000362610.2
Q9BPZ7	ENSP00000377624.3
Q9BPZ7	ENSP00000377627.1
Q6R327	ENSP00000296782.5
Q6R327	ENSP00000349959.3
Q6R327	ENSP00000423019.1
P85299	ENSP00000006251.7
P85299	ENSP00000337464.6
P85299	ENSP00000384848.1
P85299	ENSP00000400925.2
P85299	ENSP00000520433.1
P85299	ENSP00000479623.1
P21941	ENSP00000362870.4
P78509	ENSP00000345694.5
P78509	ENSP00000392423.1
O00339	ENSP00000254898.6
O00339	ENSP00000430487.1
O00339	ENSP00000429977.1
O00339	ENSP00000429010.1
O00339	ENSP00000430221.1
O15232	ENSP00000383894.3
O15232	ENSP00000398753.2
O95460	ENSP00000353819.5
O95460	ENSP00000361840.1
O95460	ENSP00000361842.1
O95460	ENSP00000440328.1
O00300	ENSP00000297350.4
Q6IAA8	ENSP00000278671.5
Q0VGL1	ENSP00000343118.5
O43504	ENSP00000473439.1
Q9Y2Q5	ENSP00000357285.3
Q9Y2Q5	ENSP00000357287.5
Q9Y2Q5	ENSP00000357288.4
Q9UHA4	ENSP00000226522.8
Q9UHA4	ENSP00000424183.1
Q8N1F7	ENSP00000310668.5
Q8N1F7	ENSP00000440235.1
Q8N1F7	ENSP00000458039.1
Q92621	ENSP00000285968.6
Q96HA1	ENSP00000378687.1
Q96HA1	ENSP00000405562.2
Q96HA1	ENSP00000486504.1
P37198	ENSP00000305503.3
P37198	ENSP00000407331.1
P37198	ENSP00000471191.1
